user_id,ts_start,keys_total,clicks_total,scroll_delta,moved_distance,session_num
1144,2024-03-01 12:55:21,0,1,0.0,3793.0,1.0
1144,2024-03-01 12:55:31,1,0,0.0,1065.0,1.0
1144,2024-03-01 12:55:41,0,2,0.0,1935.0,1.0
1144,2024-03-01 12:55:51,23,1,0.0,1299.0,1.0
1144,2024-03-01 12:56:01,9,0,0.0,0.0,1.0
1144,2024-03-01 12:56:11,5,0,0.0,0.0,1.0
1144,2024-03-01 12:56:21,7,0,0.0,0.0,1.0
1144,2024-03-01 12:56:31,41,0,0.0,0.0,1.0
1144,2024-03-01 12:56:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:56:51,4,0,0.0,0.0,1.0
1144,2024-03-01 12:57:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:57:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:57:22,1,0,0.0,0.0,1.0
1144,2024-03-01 12:57:32,3,0,0.0,0.0,1.0
1144,2024-03-01 12:57:42,4,0,0.0,0.0,1.0
1144,2024-03-01 12:57:52,25,0,0.0,0.0,1.0
1144,2024-03-01 12:58:02,2,1,0.0,1445.0,1.0
1144,2024-03-01 12:58:12,3,2,0.0,1256.0,1.0
1144,2024-03-01 12:58:22,0,0,0.0,0.0,1.0
1144,2024-03-01 12:58:32,0,0,0.0,0.0,1.0
1144,2024-03-01 12:58:42,0,0,0.0,0.0,1.0
1144,2024-03-01 12:58:52,0,0,0.0,0.0,1.0
1144,2024-03-01 12:59:02,0,0,0.0,0.0,1.0
1144,2024-03-01 12:59:12,0,0,0.0,0.0,1.0
1144,2024-03-01 12:59:22,3,0,0.0,0.0,1.0
1144,2024-03-01 12:59:32,9,1,0.0,586.0,1.0
1144,2024-03-01 12:59:42,0,0,0.0,1776.0,1.0
1144,2024-03-01 12:59:52,0,1,0.0,1133.0,1.0
1144,2024-03-01 13:00:02,0,0,0.0,243.0,1.0
1144,2024-03-01 13:00:12,0,3,0.0,1032.0,1.0
1144,2024-03-01 13:00:22,0,2,0.0,1091.0,1.0
1144,2024-03-01 13:00:32,0,3,0.0,2204.0,1.0
1144,2024-03-01 13:00:42,0,3,0.0,1433.0,1.0
1144,2024-03-01 13:00:52,0,2,0.0,985.0,1.0
1144,2024-03-01 13:01:02,0,2,0.0,626.0,1.0
1144,2024-03-01 13:01:12,233,2,0.0,1564.0,1.0
1144,2024-03-01 13:01:22,303,3,0.0,2929.0,1.0
1144,2024-03-01 13:01:32,303,3,0.0,1937.0,1.0
1144,2024-03-01 13:01:42,304,4,0.0,942.0,1.0
1144,2024-03-01 13:01:52,97,4,0.0,2668.0,1.0
1144,2024-04-03 22:18:06,0,0,0.0,90.0,9.0
1144,2024-04-03 22:18:16,0,1,0.0,912.0,9.0
1144,2024-04-03 22:18:26,0,1,0.0,2191.0,9.0
1144,2024-04-03 22:18:36,0,1,600.0,1379.0,9.0
1144,2024-04-03 22:18:46,0,1,120.0,73.0,9.0
1144,2024-04-03 22:18:56,0,0,3600.0,16.0,9.0
1144,2024-04-03 22:19:06,0,0,4200.0,57.0,9.0
1144,2024-04-03 22:19:16,0,0,1680.0,33.0,9.0
1144,2024-04-03 22:19:26,0,0,0.0,17.0,9.0
1144,2024-04-03 22:19:36,0,0,480.0,2.0,9.0
1144,2024-04-03 22:19:46,0,0,600.0,0.0,9.0
1144,2024-04-03 22:19:56,0,0,0.0,1.0,9.0
1144,2024-04-03 22:20:06,0,0,0.0,32.0,9.0
1144,2024-04-03 22:20:16,0,0,0.0,6.0,9.0
1144,2024-04-03 22:20:26,0,0,0.0,0.0,9.0
1144,2024-04-03 22:20:36,0,0,0.0,2.0,9.0
1144,2024-04-03 22:20:46,0,0,0.0,7.0,9.0
